position,job_type,company_name,location,company_rating,company_reviews,reviews_link,salary_low,salary_high,experience,description,job_posted,url,page
Controller,,Stride Health,"San Francisco, CA",4.5,2,https://www.indeed.com/cmp/Stride-Health/reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lrnoto2ar800&fromjk=321bcb833425229f&jt=Controller,,,,"Our mission at Stride is to build the world's first benefits platform designed for the independent workforce, and we're looking for amazing people (like you!) to help us do it. Today, 60 million Americans are working independently - in gig work or otherwise - and that trend is only accelerating. For many Americans, benefits are tightly coupled with their full-time, W2-based jobs where they receive group-based benefits. For the 60M Americans working independently and outside of that safety net, they need to find medical coverage on their own. That's where Stride comes in. We make it incredibly easy and intuitive to find the best and most affordable health care coverage for independent workers and their families, including dental, vision, life, accident, and disability coverage. All the same benefits you'd expect from a W2 employer, but built specifically for independent workers.

Stride partners with the world's leading platforms and employers of non-benefited workers including DoorDash, Uber, Postmates, MasterCard, Amazon, Aon, Keller Williams and others to help them provide their workers access to affordable health and wealth benefits and perks. The company is backed by Venrock, New Enterprise Associates, and F-Prime Capital Partners.

As our benefits enrollment platform gains more traction and continues to grow, so too does the complexity of our accounting operations, customer and vendor contracts, and financial instrumentation. For that reason, we're seeking a Controller to develop the team, implement and mature our accounting processes, and be a critical strategic thought partner to the business as we continue to scale. We are looking for a builder who can uplevel our accounting operations, systems, and tooling, and be a critical anchor in helping Stride grow our business.

We are a growing yet still small team (50+ employees) and believe in how small teams work - iterating and learning quickly. We believe you do your best work when you're working with a team you enjoy, leveraging your skills and experience to drive value, and focusing on new challenges that require new learning every day. Since we're small, we can guarantee you'll be doing a little bit of everything here. You love to bring creativity to your work to find top talent, love teaching others and helping your team succeed, and find satisfaction in building a company one quality hire at a time.

We're looking for somebody who is:
Passionate about their craft - we value people who love what they do, and take pride in their work. We want to see that passion in you for understanding the financial mechanics of the business, and delivering value through sound accounting practices and decisions.
Able to see the forest for the trees - You have an ability to understand downstream impacts of accounting decisions, how to leverage accounting to drive financial performance and KPIs, and a keen ability to go from the 2 to the 20,000 ft view.
Comfortable with ambiguity - You have a demonstrated ability to operate in a world of unknowns, where you are the expert and exercise appropriate executive judgement, make sound decisions exclusively, and advocate for those decisions effectively.
A builder - comfortable hiring and scaling teams, implementing new systems and tools, instrumenting our financials to yield deeper insights, and partnering with our engineering and product teams to drive deeper integrations between our accounting and product infrastructure.
Further below is an example timeline of your first year at Stride.


Within 1 month you'll…

Meet your new teammates, learn what they do and what makes Stride a special place to work
Learn about our core values, mission, vision, and company goals
Meet the executive team and leaders across the organization, and being building strong relationships with them
Dive into our financials, taking stock of current finance and accounting operations and practices
Meet our bookkeeping firm, review current reconciliation schedules and other close artifacts, review and contribute to our existing close practices, and begin looking for optimizations
Have a sound grasp of the accounting challenges facing the organization, and developed sense of solutions and paths forward
Drive the development of Accounting's next set of leadership goals and objectives

Within 3 months you'll…

Own our financial close process from start to finish, driving consistently accurate closes and reporting on a timely and efficient basis
Develop, enhance and implement new accounting operations for key challenges facing the business
Partner closely with FP&A and leadership to help drive our understanding of performance and fully leverage our financials to guide the business
Facilitate and educate leadership on our financial performance, educating and preparing them for board and investor conversations
Establish KPIs that measure the success of accounting efforts and practices

Within 6-12 months you'll…

Comprehensively review all accounting practices, modify or implement new accounting practices, and iterate on them to become operationally efficient and effective
Take a deep dive into our historic financials and implement changes based on your expertise
Implement new accounting operations tool and processes to drive further efficiency and optimization, creating a word-class accounting function
Develop a forward looking vision for the team, including hiring additional support where needed, identifying the shape of team growth based on forecasted complexity, and key challenges to solve in the future
Have contributed meaningfully towards getting the company ready for its next fundraise
Feel excited to develop a growth plan for your next 6-12 months at Stride, and looking forward to growing your capabilities and furthering your career!


We're excited that you're looking to Stride for your next employment opportunity. We take that decision seriously and want to provide you with an opportunity where you can grow meaningfully in your career. We support a flexible work structure with headquarters in San Francisco, along with the option to establish your own fully remote office. We look forward to hearing from you!
Perks & Benefits
At Stride we work hard, sweat the details, and enjoy life away from the computer, too. We are a diverse group that celebrates and supports our differences.

Competitive salary
Equity packageHealth, dental, and vision plansFlexible work arrangement with the ability to work remotely and meet face to face with co-workers on a regular basis (as conditions permit)$100/month work from home stipend$75/month stipend for wellness programsCommuter benefits
Flexible vacation time
Parental leave
A culture of learning and development
And more!

Candidates must be legally eligible to work in the United States. Stride is an equal opportunity employer.",11 days ago,https://www.indeed.com/rc/clk?jk=321bcb833425229f&fccid=eb7ac56d332b93c0&vjs=3,3
"Controller, Accounting & Finance",Full-time,Kearns & West,"San Francisco, CA 94104",,,,,,ten years,"THE ORGANIZATIONKearns & West is a leader in the collaborative communications field, providing services in public involvement, stakeholder facilitation, community outreach, and mediation, primarily for government agencies. Founded in 1984, the small, woman-owned business has offices in San Diego, Los Angeles, Riverside, Costa Mesa, Sacramento, San Francisco, Portland, Denver and Washington, DC.Focusing on positive, mutually beneficial results has allowed Kearns & West to maintain long-term relationships with the people and organizations they assist. The firm’s high-stakes projects include work at local, state, and national levels and cover a variety of sectors including land use and community planning, transportation, energy, water, major public facilities and infrastructure, and natural resources. At the core of all our projects is finding solutions to advance essential policies and programs.Kearns & West is the ideal match for professionals seeking meaningful work, opportunities for growth, and colleagues that are smart, capable and supportive. Once on board, our employees stay for the long term. The entrepreneurial culture at Kearns & West values employee initiatives in practice innovation and business development – principal tracks are open to all team members. Compensation and benefits at Kearns & West are also highly competitive with firms in our field.THE POSITIONPosition Requirements:A successful candidate will have BA or BS in Business with an emphasis in accounting. A minimum of seven to ten years relevant and progressively challenging corporate accounting experience within the professional services industry is required.Experience working with federal, state and local government agencies preferred.The successful candidate must be PC proficient with Microsoft Office applications and able to thrive in a fast-paced setting with the ability to multi-task. The ability to communicate effectively at all levels of the organization, is essential as are strong people skills, a positive attitude, a customer service orientation and excellent communication skills. Strong organization and analytical skills coupled with the ability to handle multiple priorities and to set and meet deadlines is mandatory. A CPA certification is preferred but not required. Experience with the Deltek Suite of products preferred but not required.Position Responsibilities:Oversee the Accounting operations to promote a “customer service” oriented culture:Timesheet Management/ProcessEmployee Expense ReportsAccounts PayableVendor Management (new vendors/W9s)BillingGeneral LedgerResponsible for the month-end close that result in accurate financial statements:Monthly ReconciliationsPrepaid ExpensesDepreciation (Fixed Assets)Balance SheetReconciliation SupportVariance AnalysisReconcile Bank StatementsProvide guidance on cost proposal development and assistance with RFPs, bill rates, forms, etc.Cost Plus Rate DevelopmentTeam up with Finance and Project Teams to provide financial guidance on all projects.Cash Forecasting/Financial ForecastingFile Management of the accounting department and ContractsManage Year-End Close ProcessesGenerate Accurate Financial Reporting:Generate Monthly Financial StatementsBank ReportingLead FAR Compliance/ReportingLead with the CPA financial review and Tax preparationAccounting Team DevelopmentFinancial Systems Development/ManagementAssist the CFO in the following areas:Equipment Leases & FinancingBank RelationshipInsurance Policy RenewalsIncentive Compensation PlanTax ManagementBilling Rate Analysis and adjustmentsStaffing ProjectionsExpense Management/ControlDashboard reporting/analysisPerform other duties as directedCOMPENSATIONCompensation will depend on the qualifications and experience of the selected candidate.HOW TO APPLYPlease apply immediately by submitting cover letter and resume to personnel at kearnswest.com with the subject “44_Controller_SF”. We ask that you do not call or email staff directly. Resumes will be accepted until the position is filled.Job Type: Full-timePay: $25.00 - $57.00 per hourSchedule:Monday to FridayWork Location:One locationWork Remotely:Temporarily due to COVID-19Work Location: One location",10 days ago,https://www.indeed.com/company/Kearns-&-West/jobs/Controller-b2a3cbb201095ae9?fccid=66c5989e2079b254&vjs=3,3
Controller,Full-time,San Francisco Day School,"San Francisco, CA 94118",3.7,3,https://www.indeed.com/cmp/SAN-Francisco-Day-School/reviews?campaignid=mobvjcmp&cmpratingc=mobviewjob&from=mobviewjob&tk=1fk0lrt0bnq38800&fromjk=2edaf66efaad3fc4&jt=Controller,,,more years,"Position: Controller

Reports to: Chief Financial Officer

Supervises: Two accounting FTEs
Position Status: 100% FTE Exempt
ABOUT SAN FRANCISCO DAY SCHOOL
At San Francisco Day School, we believe that when intellect and imagination are

intertwined, students delight in the discovery of connection: in their academic and

creative pursuits, in their relationships, and in all that they experience here. Every day

we help our students emerge as flexible and resourceful learners. Because when we

do, our students light up with the call and capacity to take on the complexities of

their day and of a diverse world.
SF DAY FAST FACTS

Independent, co-educational school
Founded in 1981
Serving 400 students
Located in the heart of SF


The SF Day Controller fosters the financial sustainability goals of the school through facilitating the management of the school’s financial resources.
PRINCIPAL DUTIES

Oversee the day to day operations of the accounting team – AR, AP, payroll, cash receipts, etc.
Ensure compliance with applicable laws, regulations, tax filings, professional standards and internal policies.
Manage customer requests, including employee and parent inquiries in a friendly, helpful and efficient manner.
Responsible for the month-end close process to ensure timely financial statement reporting. This includes monthly and quarterly journal entries, bank reconciliations, investment reconciliation, and balance sheet account reconciliations (including advancement), etc
Produce monthly financial statements including variance analysis of actual to budget.
Responsible for the General Ledger, sub ledgers and all systems and processes that support it. Maintain general ledger in accordance with GAAP, donor restrictions and other regulatory requirements.
Compile and issue monthly budget reports in a timely manner. Address budget manager questions.
Monitor cash balances and initiate cash transfers to maintain appropriate balances.
Identify control weaknesses and propose changes.
Prepare and update policies and procedures. Monitor and enforce compliance.
Oversee and manage external auditors in the completion of the annual financial statement audit. Prepare audit schedules, account analysis and address auditor questions.
Add and maintain new assets in the Fixed Asset module of Financial Edge, dispose of assets as directed, and generate depreciation as required. Prepare a year end roll forward workpaper that reconciles additions, disposals, depreciation expense, and gain and loss to the GL.
Responsible for monitoring outstanding checks
Plan and oversee the update and distribution of student enrollment package. Review contracts for completeness and update system.
Oversee billing and tuition collections.
Reconcile financial aid recognition as needed during the year and annually.
Serve as primary liaison for tuition system technology support and Blackbaud.

QUALIFICATIONS

Bachelor’s degree in accounting; MBA or CPA preferred
Seven or more years in progressively responsible experience
Non-profit accounting experience preferred
Knowledge of Financial Edge preferred
Demonstrated proficiency in Microsoft Excel
Demonstrated knowledge of financial reporting and audit support
Superior attention to detail, with excellent analytical skills
Excellent written and verbal communication skills


Ready to Join SF Day?

SF Day celebrates and welcomes faculty and staff who reflect the broad range of

diversity in the Bay Area. We encourage people of color and LGBTQ+ applicants to

apply. SF Day offers excellent benefits and a competitive salary.
Please apply online: https://sanfranciscodayschool.bamboohr.com/hiring/jobs/60
San Francisco Day School

350 Masonic Avenue

San Francisco, CA 94118

www.sfday.org",2 days ago,https://www.indeed.com/rc/clk?jk=2edaf66efaad3fc4&fccid=ca21d5fb91b03e1e&vjs=3,3
Professional Staff Accountant - CPA firm,Full-time,Fong Ko & Associates LLP,"San Mateo, CA 94404",,,,,,,"Professional Staff Accountant – CPA firmEstablished mid-peninsula CPA firm is seeking staff accountants with tax and accounting experience (CPA preferred) to join its professional staff. Candidate must be self- motivated and a team player, have excellent oral and written communication skills, and be able to handle multiple tasks in a fast paced environment.Our firm is a full service public accounting firm and provides domestic and international tax consulting and preparation services to individuals and business entities. We also offer audit, review, compilation services and other consulting and accounting services to businesses.Duties and responsibilities include:* Preparing supporting documentation by gathering, sorting, and organizing financial data and documents; establishing priorities and communicating with clients.* Preparing federal, state, and local tax returns using Lacerte and other software.* Researching current regulations and ensuring compliance with tax regulations and authorities.* Performing audit, review or compilation of financial statements for business clients.* Providing assistance in tax audits by IRS, FTB and other tax authorities.Skills/Qualifications:Bachelor degree in accounting or taxation required.Accounting and tax experience preferred.Successful completion of CPA exam or in progressExcellent oral and written communication skills.Experience with QuickBooks, Excel, Word and Lacerte.Knowledge of GAAP, IFRS & GAASOrganized, mature, flexible, with strong work ethic.Strong interpersonal skillsPlease send a cover letter and resume via email to Fong Ko & Associates LLPResume submitted without a cover letter will not be considered.Job Type: Full-timeBenefits:Health insurancePaid time offProfessional development assistancePhysical Setting:OfficeSchedule:8 hour shiftMonday to FridayEducation:Bachelor's (Preferred)License/Certification:CPA (Preferred)Work Location: One location",3 days ago,https://www.indeed.com/company/Fong-Ko-&-Associates-LLP/jobs/Professional-Staff-Accountant-db12e46ac357145f?fccid=9e8f5c06a7c26cfe&vjs=3,3
Entry Level Tax Associate,Full-time,Spiegel Accountancy Corp.,"Pleasant Hill, CA 94523",,,,,,,"Spiegel Accountancy Corp. is a growing, professional accounting firm based in Pleasant Hill, CA with a national practice specializing in the mortgage banking and private lending sectors. Our client commitment to being a strategic, innovative and responsive partner distinguishes us from other accounting firms. The combination of being strategic advisors to our clients and providing business development and technical growth opportunities to our staff has enabled our firm to emerge as an industry leader on a national level.At Spiegel Accountancy Corp., we know that the members of our team are our most valuable asset. We are dedicated to helping expand their personal and professional development. We offer a buddy program, coaching, and provide timely and productive feedback.Due to our continued growth, we are seeking entrepreneurially minded individuals who have a passion for technical issues to join our tax department. We are looking for someone who can thrive in a fast paced, deadline driven work environment. Ideal applicants will have well-rounded knowledge of accounting and tax principles, progress towards obtaining CPA licensure, and commitment to offering clients the highest level of service.DUTIES AND RESPONSIBILITIES:- Preparation of individual, corporate and partnership income tax returns- Filing multi-state income tax returns- Build strong relationships with clients while providing exceptional client service- Research tax laws, rules and regulations and apply to specific situations- Collaborate in a team environment and proactively seek guidance and feedback- Work independently, prioritize and manage multiple tasksREQUIREMENTS:- A Bachelor's or Master's degree in accounting, taxation, finance or related discipline- CPA license or progression towards obtaining licensure- Strong academic credentials (minimum GPA of 3.0)- Strong leadership, problem-solving, and communication skills- Possess a passion to learn and to work on new and challenging engagements- Ability to interact with various levels of client and firm management through both written and verbal communications- Must demonstrate a thorough understanding of Microsoft Excel- Prior work experience in tax, accounting or a related field is a plus- Proficiency in software such as Axcess Tax and QuickBooks is a plusThis position is full-time with mandatory overtime hours during busy season (January 2nd through April 15th). We offer a competitive salary, comprehensive benefits package, and growth opportunities. Please visit our website at www.spiegel.cpa to learn more.Interested candidates must submit a cover letter detailing their qualifications and interest in this position along with their resume and college transcripts. Please upload them to Indeed.Job Type: Full-timeBenefits:401(k)401(k) matchingDental insuranceDisability insuranceHealth insuranceLife insurancePaid time offVision insuranceSchedule:8 hour shiftMonday to FridaySupplemental Pay:Bonus payCOVID-19 considerations:We follow all county, state and federal requirements to keep our employees safe. We also provide face masks, face shields and sanitizer to all employees.Education:Bachelor's (Preferred)Experience:Tax experience: 1 year (Preferred)License/Certification:CPA (Preferred)Work Location: One location",11 days ago,https://www.indeed.com/company/Spiegel-Accountancy-Corp./jobs/Entry-Level-Tax-Associate-fd34a2cef094cdc5?fccid=ae74c9d8cd116d6d&vjs=3,3
Tax Staff - SEASONAL,"Full-time, Part-time",Krutilla & Associates,"Walnut Creek, CA 95498",,,,,,,"Krutilla & Associates is a fast-growing CPA firm based in Walnut Creek specializing in tax and consulting services for a variety of large and mid-sized clients. Our clients include real estate opportunity funds, real estate investment trusts, homebuilders, technology companies, professional service firms, and high net worth individuals. Qualified candidates will obtain experience working on many challenging projects in a casual environment. Candidates will work as part of a team to complete tax returns and advise clients on tax planning opportunities. Candidates will also have an opportunity to work directly with our clients to provide planning ideas and to obtain documents necessary for the preparation of tax returns.We are seeking qualified candidates to prepare tax returns on a seasonal, full-time, or part-time basis. Seasonal employees will generally work 30-40 hours per week during tax season.As a Seasonal Tax Staff Associate you will be responsible for the following:Preparation of Individual, Partnership, Corporate, and/or Trust tax returnsAccounting calculations needed to prepare tax returns and quarterly estimatesPerform online tax researchDevelopment of general technical and tax planning skillsQualifications:Familiarity with Microsoft Office products (including Word and Excel)General knowledge of accounting principlesWorking towards completion of CPA exam preferredJob Types: Full-time, Part-timeBenefits:401(k)401(k) matchingDental insuranceFlexible scheduleHealth insurancePaid time offVision insuranceWork from homeSchedule:Monday to FridayExperience:Accounting: 2 years (Preferred)Tax Experience: 2 years (Required)Work Location: One location",5 days ago,https://www.indeed.com/company/Krutilla-&-Associates/jobs/Tax-Staff-7259fe154f216d40?fccid=3f81abd840d4fde9&vjs=3,3
MOBILE TAX PREPARER,"Full-time, Contract",Exquisite Tax Service,"San Francisco, CA 94122",,,,,,,"VIRTUAL TAX PREPARER About usWe are challenging, bold, innovative and our goal is to CREATE TEAM OF ENTREPRENUERS TRAINED TO BE SUCCESSFUL TAX PROFESSIONALS. WE HAVE A SOLUTION TO ALL TAX PROFESSIONAL NEEDS NO MATTER IFF YOU ARE A NEWBIE OR VET.Our work environment includes:Safe work environmentWellness programsRelaxed atmosphereWork-from-home daysWANT TO START YOUR OWN TAX PREPARATION SERVICE? WANT TO OFFER YOUR CLIENTS CASH ADVANCES UP TO $6000 DOLLARS? WE ARE HERE TO HELP! WE ARE LOOKING FOR SELF DRIVEN ENTREPRENUERS READY TO MAKE RESIDUAL INCOME. NO STARTUP MONEY NO PROBLEM.Job Types: Full-time, ContractPay: $9.00 - $31.00 per hourBenefits:Flexible scheduleSupplemental Pay:Commission payCOVID-19 considerations:WE OFFER MOBILE APP SO YOU CAN RUN YOUR VIRTUALLY OR IN A OFFICE SETTING. THE SOFTWARE IS COMPLETELY PAPERLESS AND CLIENTS CAN UPLOAD ANY DOCUMENTS THROUGH THE APP.Education:Bachelor's (Preferred)License/Certification:CPA (Preferred)Work Location:One locationWork Remotely:YesWork Location: One location",13 days ago,https://www.indeed.com/company/Exquisite-Tax-Service/jobs/Mobile-Tax-Preparer-3549f6ccf5cc6d30?fccid=0aba77264318d8f8&vjs=3,3
Tax Senior Associate,Full-time,Krutilla & Associates,"Walnut Creek, CA 95498",,,,,,,"Krutilla & Associates is a fast-growing CPA firm based in Walnut Creek specializing in tax and consulting services for a variety of large and mid-sized clients. Our clients include real estate opportunity funds, real estate investment trusts, homebuilders, technology companies, professional service firms, and high net worth individuals. Qualified candidates will obtain experience working on many challenging projects in a casual environment. Candidates will work as part of a team to complete tax returns and advise clients on tax planning opportunities. Candidates will also have an opportunity to work directly with our clients to provide planning ideas and to obtain documents necessary for the preparation of tax returns.We are seeking qualified candidates to prepare tax returns on a seasonal, full-time, or part-time basis. Our full-time employees will be expected to work some overtime but less than a typical CPA firm. Part-time employees generally do not work overtime, and seasonal employees' schedules fluctuate throughout the year.As a Tax Senior Associate you will be responsible for the following:Preparation and/or review of Individual, Partnership, Corporate, and/or Trust tax returnsAccounting calculations needed to prepare tax returns and quarterly estimatesPerform online tax researchDevelopment of general technical and tax planning skillsQualifications:Minimum GPA: 3.2Familiarity with Microsoft Office products (including Word and Excel)General knowledge of accounting principlesCPA or working towards completion of CPA exam preferredJob Type: Full-timeBenefits:401(k)401(k) matchingDental insuranceFlexible scheduleHealth insurancePaid time offVision insuranceWork from homeSchedule:Monday to FridayExperience:Accounting: 2 years (Required)Tax Experience: 2 years (Required)Work Location: One location",5 days ago,https://www.indeed.com/company/Krutilla-&-Associates/jobs/Tax-Senior-Associate-2481a7945d204c06?fccid=3f81abd840d4fde9&vjs=3,3
Tax Manager,Full-time,Mowat Mackie & Anderson LLP,"Oakland, CA 94612",,,,120000,150000,,"Mowat Mackie & Anderson LLP (""MMA"") is looking to add an experienced Tax Manager with extensive entity experience to lead and manage multiple operations of the tax practice area and to deliver high-quality tax services. In client assignments, the Tax Manager is involved in almost all of the areas for which partners are responsible. This role exhibits technical proficiency and the ability to supervise and complete engagements while serving as intermediaries between partners, clients, and senior accountants. The Tax Manager has a proven record of building profitable and sustainable client relationships.
Meet Mowat Mackie & Anderson LLP
MMA is a dynamic and responsive, high-value CPA firm that serves closely-held businesses, high net worth individuals, trusts and estates, and other clients throughout California and globally.
We hire engaged employees and support our team with hybrid work, a robust benefits package as well as provide numerous perks including team activities, training, education stipends, and
support for community involvement. Additional benefits include targeted industry compensation, 401(k) and profit-sharing, medical/dental/vision, life insurance, short-term and long-term
disability insurance.
This is an ideal position for a smart, motivated individual who is passionate about delivering strategic value in a fast-paced, collaborative environment. A strong ability to take charge and meet tight deadlines will ensure your success in this multi-faceted role.
Your responsibilities will include:

Develop a full range of tax services in compliance with laws and regulations with a time frame.
Build relationships and interact with clients to provide excellent planning, consulting and expertise.
Provide innovative tax planning and review complex income tax returns;
Review engagement work papers, resolve any problems, spot issues and keep the partner informed of all important developments.
Identify and mitigate tax risks.
Prepare client billings and monitor realization on engagements.
Manage the tax provision and tax compliance process.
Improve processes by developing or implementing best practices.
Ensure effective utilization of staff through proper assignment and delegation of duties and assess their performance.
Manage and coordinate tax audits.
Prepare all tax papers on a regular basis and handle all information data requests.
Ensure that all projects are thoroughly reviewed before they reach the partner, and that all applicable checklists and procedures have been followed.
Establish a habit of accuracy and promptness in preparing administrative reports and of compliance with the Firm's administrative procedures, i.e., timesheets, expense reports, department meetings.
Updates job knowledge by participating in educational opportunities; reading professional publications and new regulations.
Approaches responsibilities and the disposition of problems in a long-term profit-oriented manner to help ensure the continued growth of the firm.


Desired Skills and Experience:

Licensed CPA.
BA in Accounting or MA in Taxation.
Proven work experience as a tax manager.
Excellent knowledge of tax accounting, tax compliance and all types of tax returns.
Strong leadership and personnel management skills.
Strong analytical skills to assess problems or unusual situations and quickly determine efficient solutions.
Demonstrates a working knowledge of CCH Products (ProSystem fx Tax, Engagement, Client Portal, etc).


Additional Knowledge and Skills:

Able to prioritize, multitask, work under pressure and handle interruptions while maintaining flexibility in work assignments.
Ability to independently perform all the duties of the position efficiently and effectively.
Good at meeting deadlines and solving problems.
Comfortable providing feedback.
Ability to be flexible in response to changing priorities and needs.
You are highly collaborative and team-oriented.
Ability to work under pressure in a deadline-oriented business.
You work well with little direction but know when to ask for help and keep your team informed.


Meet Mowat Mackie & Anderson LLP
Responsive, creative, high-value CPA services for closely-held businesses, high net worth individuals, trusts and estates.
Do you fit this description?

Experienced and highly motivated
Intellectually curious
Looking for a challenging and stimulating environment
Prefers a workplace that provides autonomy and rewards independent and critical thinking
Goes beyond ordinary compliance to provide outstanding service to clients


If so, you’d fit right in at MMA – and we’d like to speak with you!
We take great pride in delivering the highest-quality service and are listed as one of the Top Ten East Bay Area accounting firms.",12 days ago,https://www.indeed.com/rc/clk?jk=c346e52a72b0d49f&fccid=1a68c981216c206a&vjs=3,3
Cost Accounting Specialist-CLMB,Full-time,Columbus Craft Meats,"Hayward, CA 94557",,,,,,,"Job DescriptionEssential Duties and ResponsibilitiesValidating Daily manufacturing production tonnage and yields in AS400 system (25%)Monitoring and Reconciling Finished Goods and WIP Inventories and reconcile difference between AS400 and QAD Inventory SystemReconciliations of Outside warehouse inventories and verifying our internal inventory level is accurate.Weekly Inventory Cycle counts, providing count sheets, enter counts system and providing results to plantCoordinates and supervises period and fiscal year-end inventories.Assist in Month-end Close process and Provide timely and accurate financial reports and schedulesAssists in the other duties as directed by their supervisor as the incumbent builds on their experiences.Job Type: Full-timeSchedule:8 hour shift",14 days ago,https://www.indeed.com/company/Columbus-Craft-Meats/jobs/Cost-Accounting-Specialist-Clmb-c8473bbb1ff10146?fccid=2378fc26d87bc9ee&vjs=3,3
